State,COVID-19 Deaths 2020
AK,206
AL,4827
AR,3676
AS,0
AZ,8864
CA,25386
CO,4814
CT,5995
DC,786
DE,926
FL,21990
GA,10934
GU,122
HI,288
IA,3891
ID,1403
IL,17978
IN,8263
KS,2741
KY,2623
LA,7488
MA,12423
MD,5895
ME,347
MI,13018
MN,5323
MO,5519
MP,2
MS,4787
MT,961
NC,6748
ND,1289
NE,1611
NH,759
NJ,19042
NM,2477
NV,3125
NY,30040
OH,8962
OK,2489
OR,1468
PA,15978
PR,1503
RI,1809
SC,5296
SD,1488
TN,6907
TX,27437
UT,1269
VA,5032
VI,23
VT,136
WA,3420
WI,5242
WV,1338
WY,438